,Id,Apellido,Nombre,Propio,Padre,Madre,PIngFam,IngFam,Hijos,Exitable,Extravagante,Pesimista,Timido,Sentimental,Dependiente,Responsable,Capaz,Sociable,Servicial,Etico,Conciente,Espiritual,Impulsivo,Desordenado,Temeroso,Vago,Apego,Empatia,Compasivo,VxH
1,1,WAFIB,IVBAG,P,U,P,15780129,3327694337,1,592486172,660104655,1911083,480623754,208192958,448448698,715189191,967960332,48345924,204646008,286197033,19396689,199759779,886397489,29312382,911440217,509820913,943347749,699690968,719768055,706507021
2,2,TFLUT,OBEYM,P,U,S,41814642,6224254085,0,66332998,24229714,471660628,65292056,235596471,444252163,840436614,300129576,3976247,208175346,74276125,818907398,41764083,244247625,367736074,54234722,76588122,68177144,613223399,695287943,80113518
3,3,FCACU,UREDL,S,S,S,900064103,2654118809,4,805862664,74784831,159341189,78381318,88579275,908837325,59781554,694443371,244605798,928968619,99116303,900221546,267378891,298552406,106619031,90835512,21830391,753458541,89352394,537843257,906939068
4,4,XCQTN,LRHOD,P,S,S,171807853,1872720164,0,154116648,812219175,167690152,369357954,24633936,974950489,25558836,589306916,990287017,741130427,89349127,181652239,734042826,768233567,285647945,613739852,862423729,208604318,423194339,793448774,591296153
5,5,BHEFK,ILQNP,U,S,P,807108373,2411496247,0,284124994,66237341,94574811,191025092,46103834,837943701,624175624,78607076,60310859,834414259,959118406,262053325,632243032,628504126,257601378,4967762,622631129,962792118,419418149,463254579,605940429
6,6,LYKHM,SWPIN,P,S,P,96126837,2918717113,0,279403893,855955757,198344351,792738095,121918785,590946973,608538459,525406739,885444987,666407945,404480933,539573729,242657309,689983575,47282159,6370367,65510579,591823944,993824601,43879377,786910914
7,7,EQVKT,TRBGW,U,S,P,822564462,1640280625,0,528649389,565013255,382728449,425916356,749500737,45732367,136528422,85649869,805156755,22271151,747700405,581753603,137963626,477733795,71395605,62470775,819611637,527813074,245690073,580183841,569997943
8,8,MCJBH,QIMLJ,U,S,P,761643484,4390880284,0,429017463,592832912,355095462,238248948,632491669,30853242,604536336,831432011,96333647,828626702,138073617,521311708,237200151,457874628,512095002,40371403,663466112,581964415,491393624,8928134,809632115
9,9,QPLGV,WRMIY,P,P,P,449057904,235273493,0,238086239,808751901,119906795,459263808,108762318,384186119,256440755,152897826,473549146,794073101,425022692,791996677,124646162,314161194,58391435,458785526,363808971,882795135,559176173,95780153,600470074
10,10,TFBJX,CFKMO,P,P,P,586501818,2670102543,3,404127584,190199936,301326508,413593918,155681467,297070037,742057333,16399268,632177153,195694362,773310777,808630642,835393834,30857795,541542708,756434172,150916924,118524881,289371403,676621413,66893357
11,11,IYBAU,PRMQA,P,P,P,584895612,2621610336,0,382968038,683463574,31651863,754023518,124174234,79654226,548714168,173620771,702098662,48356701,10313561,694738423,369302862,991005515,264871532,83813161,11770341,765763387,202087185,232021999,574729474
12,12,YQWWN,IVWSH,S,P,P,364000587,8490153393,0,256423125,170858029,418321494,416297954,820226321,595729186,157592262,181621465,651853424,381760381,6169653,857994271,576086793,90768657,369182103,302891039,726198248,80749888,261851755,131918845,726317232
13,13,FIQCW,BEKMV,P,S,P,59521552,3952267705,0,472348618,802805946,194967384,596033699,310379908,8220074,970993338,524680166,362419084,164089814,212929173,593495805,976706005,64500013,334296483,440898532,288656469,552164055,34535925,222077171,570660388
